latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-33.47240498,-70.7180761,54.6424,0.7479,"POLYGON((-70.7180201566058 -33.4724135544748, -70.7180779681848 -33.4723573396627, -70.7181320449827 -33.4723963993154, -70.7180742334144 -33.4724526141518, -70.7180201566058 -33.4724135544748))",47RFG7HJ+2QMW
-33.3945234,-70.67652565,337.2495,0.902,"POLYGON((-70.6763952049314 -33.3946846160085, -70.6765779392669 -33.3943335559864, -70.6766560988409 -33.3943621819994, -70.6764733647699 -33.3947132421271, -70.6763952049314 -33.3946846160085))",47RFJ84F+59X2
-33.41480588,-70.56911806,9.5411,0.6639,"POLYGON((-70.5691006414463 -33.4148192970727, -70.5691053354479 -33.4147891593862, -70.5691354958076 -33.41479246312, -70.5691308018163 -33.4148226008073, -70.5691006414463 -33.4148192970727))",47RFHCPJ+39CJ
-33.48488155,-70.6729188,9.7436,0.6777,"POLYGON((-70.6728988951846 -33.4848599304514, -70.6729156285396 -33.4848543662252, -70.6729387314599 -33.4849031496542, -70.6729219980973 -33.4849087138836, -70.6728988951846 -33.4848599304514))",47RFG88G+2RWP
-33.49440864,-70.75129839,33.7485,0.678,"POLYGON((-70.751262185143 -33.4944315600831, -70.7512838598136 -33.4943726355075, -70.7513345875415 -33.4943857343214, -70.751312912903 -33.4944446589046, -70.751262185143 -33.4944315600831))",47RFG64X+6FPM
-33.49864691,-70.6882016,31.7159,0.8414,"POLYGON((-70.6881639214976 -33.4986293072741, -70.6882160086609 -33.498612832073, -70.6882393005653 -33.4986645204156, -70.6881872133763 -33.4986809956271, -70.6881639214976 -33.4986293072741))",47RFG826+GPV4
-33.50304819,-70.61211429,171.3566,0.8731,"POLYGON((-70.6120706264839 -33.5029831858826, -70.612074155321 -33.5030216750759, -70.6122216576659 -33.503012183471, -70.6122282307939 -33.5030838754541, -70.6120267439954 -33.5030968408556, -70.6120166422182 -33.5029866596625, -70.6120706264839 -33.5029831858826))",47RFF9WQ+Q5J3
-33.42088109,-70.70959906,35.3749,0.8409,"POLYGON((-70.7095646372859 -33.4208549130357, -70.7096175195941 -33.4208453366058, -70.7096334686464 -33.4209072686537, -70.709580586303 -33.4209168450915, -70.7095646372859 -33.4208549130357))",47RFH7HR+J5RQ
-33.43238553,-70.72977613,33.8619,0.8074,"POLYGON((-70.7297563753223 -33.432421636577, -70.7297487265747 -33.4323525378857, -70.7297958743591 -33.432349423535, -70.7298035231434 -33.4324185222222, -70.7297563753223 -33.432421636577))",47RFH79C+23XC
-33.39866457,-70.58876451,306.0909,0.8268,"POLYGON((-70.588621570148 -33.3986828751874, -70.5886697209099 -33.3985729802176, -70.5889074409273 -33.398646260696, -70.5888592904319 -33.3987561557496, -70.588621570148 -33.3986828751874))",47RFJC26+GFQG
-33.48109662,-70.63315896,30.5908,0.6972,"POLYGON((-70.6331087188708 -33.4810940293828, -70.6331970870494 -33.4810690629566, -70.6332092142437 -33.4810992044608, -70.6331208460387 -33.4811241708963, -70.6331087188708 -33.4810940293828))",47RFG998+HP85
-33.50534108,-70.59929384,80.5841,0.6744,"POLYGON((-70.5992363104857 -33.5053776599453, -70.5992264523116 -33.5053153740576, -70.59933669301 -33.5053031287235, -70.5993410916803 -33.505330920183, -70.5993647118443 -33.5053282964852, -70.5993701714339 -33.5053627909019, -70.5992363104857 -33.5053776599453))",47RFFCV2+V788
-33.45119258,-70.66208907,606.5818,0.9413,"POLYGON((-70.6621691635767 -33.4512351322047, -70.6621508514169 -33.4513024814367, -70.6618962131453 -33.4512538294593, -70.6619429547673 -33.4510819228236, -70.6623135179671 -33.4511527236027, -70.6622850891242 -33.4512572811084, -70.6621691635767 -33.4512351322047))",47RFG8XQ+G5F6
-33.43930077,-70.76207724,86.8159,0.8078,"POLYGON((-70.7620506337275 -33.4393677866523, -70.7620354400071 -33.4392432203477, -70.7620909305963 -33.4392384629208, -70.7620935054822 -33.4392595731434, -70.7621165497743 -33.4392575974578, -70.7621240390667 -33.4393189982799, -70.7621009947587 -33.4393209739674, -70.762106124394 -33.4393630292158, -70.7620506337275 -33.4393677866523))",47RFH66Q+75FW
-33.50809837,-70.77793891,39.2064,0.8156,"POLYGON((-70.7779130207322 -33.5081367793054, -70.7779162251324 -33.5080585623189, -70.777964788262 -33.5080599585002, -70.7779615839055 -33.5081381754865, -70.7779130207322 -33.5081367793054))",47RFF6RC+QR75
-33.49816902,-70.69004421,39.7664,0.7163,"POLYGON((-70.6900006060666 -33.4981522504173, -70.6900639027671 -33.4981323679541, -70.6900878096592 -33.4981857907254, -70.6900245129264 -33.4982056732016, -70.6900006060666 -33.4981522504173))",47RFG825+PXP8
-33.4055228,-70.73942026,26.5678,0.7378,"POLYGON((-70.7393690511137 -33.4055239185546, -70.7394610080494 -33.4054967703388, -70.739471460527 -33.4055216756093, -70.739379503569 -33.4055488238334, -70.7393690511137 -33.4055239185546))",47RFH7V6+Q6W4
-33.4989894,-70.67967526,38.7148,0.8186,"POLYGON((-70.6796258150128 -33.4989833083765, -70.6797036179002 -33.4989549250034, -70.6797247031535 -33.4989954940322, -70.6796469002374 -33.4990238774195, -70.6796258150128 -33.4989833083765))",47RFG82C+C44F
-33.5292869,-70.64965829,48.2326,0.7768,"POLYGON((-70.6495958288624 -33.5292826120966, -70.6497058324216 -33.5292526986068, -70.6497207520268 -33.5292911820334, -70.6496107484253 -33.529321095538, -70.6495958288624 -33.5292826120966))",47RFF9C2+74PH
-33.51116978,-70.75269908,74.8341,0.7171,"POLYGON((-70.7526570126701 -33.5111253793267, -70.752735630851 -33.5111220796929, -70.7527411395694 -33.5112141809259, -70.7526625213056 -33.5112174805665, -70.7526570126701 -33.5111253793267))",47RFF6QW+GWM8
-33.51174815,-70.67468788,53.7393,0.7574,"POLYGON((-70.6746155842596 -33.5117572166229, -70.6747403545257 -33.5117055167644, -70.6747601755809 -33.5117390830441, -70.6746354052821 -33.5117907829268, -70.6746155842596 -33.5117572166229))",47RFF8QG+8435
-33.51223032,-70.57217045,119.0962,0.8032,"POLYGON((-70.5721075370787 -33.5122313409801, -70.5721491825052 -33.5122308814316, -70.5721477820585 -33.5121534652291, -70.5722137554673 -33.5121527371983, -70.5722159178346 -33.5122902325156, -70.5721086238105 -33.5122914165148, -70.5721075370787 -33.5122313409801))",47RFFCQH+444P
-33.39628912,-70.72294433,13.6877,0.6636,"POLYGON((-70.7229089712719 -33.3962904770813, -70.7229158704658 -33.3962714636878, -70.7229796961057 -33.3962877587485, -70.7229727969248 -33.3963067721451, -70.7229089712719 -33.3962904770813))",47RFJ73G+FRMH
-33.43323849,-70.75290085,53.7886,0.8425,"POLYGON((-70.7528553903555 -33.4332107085173, -70.7529248260979 -33.4331958154823, -70.7529463249856 -33.433266279076, -70.7528768891917 -33.4332811721248, -70.7528553903555 -33.4332107085173))",47RFH68W+PR5C
-33.51682896,-70.68825341,111.5191,0.7439,"POLYGON((-70.6881864021603 -33.5167827991946, -70.6882662725799 -33.5167570931787, -70.6883204116468 -33.5168751157875, -70.6882405411374 -33.5169008218405, -70.6881864021603 -33.5167827991946))",47RFF8M6+7M9X
-33.51091048,-70.67770359,105.8293,0.7285,"POLYGON((-70.6776724848283 -33.5109359104091, -70.6776552203924 -33.5109429903861, -70.6776328914881 -33.5109047826175, -70.6776707086299 -33.5108892741735, -70.6776552997348 -33.5108629074712, -70.6777127342854 -33.5108393540876, -70.6777739065091 -33.5109440278073, -70.6776959191833 -33.5109760096989, -70.6776724848283 -33.5109359104091))",47RFF8QC+JWMF
-33.4845431,-70.67437881,12.7192,0.7663,"POLYGON((-70.6743681724964 -33.4845649831304, -70.6743586626846 -33.4845265819845, -70.6743894555486 -33.4845212276088, -70.6743989653732 -33.4845596287519, -70.6743681724964 -33.4845649831304))",47RFG88G+56Q9
-33.50411699,-70.63775545,134.1361,0.8504,"POLYGON((-70.6376977650141 -33.5041758175145, -70.6377090283297 -33.5040515458643, -70.6378131208382 -33.5040581671675, -70.6378018576713 -33.5041824388226, -70.6376977650141 -33.5041758175145))",47RFF9W6+9V59
-33.51662989,-70.74394763,37.3435,0.7911,"POLYGON((-70.7439623006112 -33.5165830586094, -70.7439947982483 -33.5166020773579, -70.7439334051782 -33.5166766737558, -70.743900350675 -33.5166573291036, -70.7439623006112 -33.5165830586094))",47RFF7M4+8CVW
-33.44190486,-70.75407657,19.0868,0.7155,"POLYGON((-70.7540582823343 -33.4418808803208, -70.7540994370507 -33.4418840318908, -70.7540945461391 -33.4419289214535, -70.7540539599211 -33.4419258134186, -70.7540582823343 -33.4418808803208))",47RFH65W+69MW
-33.39084779,-70.65775402,69.9096,0.8192,"POLYGON((-70.6577154757748 -33.3908933402076, -70.6577205738717 -33.3907994770558, -70.6577925712283 -33.3908022287731, -70.657787473209 -33.3908960919251, -70.6577154757748 -33.3908933402076))",47RFJ85R+MV95
-33.49959779,-70.77376449,18.1689,0.7932,"POLYGON((-70.7737488716747 -33.4996266827505, -70.773749759735 -33.4995685763989, -70.773780081434 -33.4995689016705, -70.773779193394 -33.4996270080216, -70.7737488716747 -33.4996266827505))",47RFG62G+5F94
-33.52733262,-70.63449295,282.7499,0.8258,"POLYGON((-70.6343952118034 -33.527398584599, -70.6344098150885 -33.5272469540712, -70.63457547116 -33.527258144957, -70.6345663489399 -33.5273528657786, -70.634603889192 -33.5273554017754, -70.6345984084401 -33.5274123114932, -70.6343952118034 -33.527398584599))",47RFF9F8+366J
-33.48929805,-70.66476174,109.7929,0.8078,"POLYGON((-70.6646838257982 -33.4892825314435, -70.6647907041191 -33.4892354925934, -70.6648396505745 -33.4893135719571, -70.6647327721848 -33.4893606108522, -70.6646838257982 -33.4892825314435))",47RFG86P+73Q4
-33.4882513,-70.77138978,41.9883,0.7421,"POLYGON((-70.7713423657216 -33.488273672402, -70.7713949593931 -33.4882059164924, -70.7714371904525 -33.4882289315088, -70.7713845968019 -33.4882966874356, -70.7713423657216 -33.488273672402))",47RFG66H+MCXW
-33.44829235,-70.75956654,265.2313,0.8569,"POLYGON((-70.7595005063929 -33.4483604644003, -70.7595767556713 -33.4483477991261, -70.7595667731298 -33.4483055654913, -70.7594905238869 -33.4483182307584, -70.7594790665016 -33.4482697571914, -70.7594985848596 -33.4482665151288, -70.7594819190545 -33.4481960058911, -70.7595386498546 -33.4481865827041, -70.7595432954424 -33.4482062370896, -70.7596339467299 -33.4481911795309, -70.7596459670409 -33.4482420343639, -70.7596161043786 -33.4482469946857, -70.759649476293 -33.4483881824934, -70.7595124382061 -33.4484109450427, -70.7595005063929 -33.4483604644003))",47RFH62R+M5M9
-33.45396088,-70.76535058,133.2797,0.797,"POLYGON((-70.7652878932169 -33.4540239725434, -70.7653274508883 -33.4538810960025, -70.7654132554742 -33.4538977884363, -70.7653736979386 -33.4540406649998, -70.7652878932169 -33.4540239725434))",47RFG6WM+CV6H
-33.50149984,-70.61682958,21.7827,0.6528,"POLYGON((-70.6168081119496 -33.5015236422125, -70.6168035878434 -33.5014794368252, -70.6168510322257 -33.5014760288019, -70.6168555563558 -33.5015202341868, -70.6168081119496 -33.5015236422125))",47RFF9XM+C733
-33.46593665,-70.71823691,160.5309,0.8295,"POLYGON((-70.7181559622259 -33.4659961481138, -70.7182132410588 -33.4658564569124, -70.7183278450121 -33.4658894667172, -70.7183047776681 -33.4659457234266, -70.7182797333619 -33.4659385098331, -70.718245522019 -33.4660219443653, -70.7181559622259 -33.4659961481138))",47RFG7MJ+JPCF
