total_requests,hits,misses,hit_rate,miss_rate,throughput,latency_p50,latency_p95,evictions,eviction_rate,cache_efficiency,run_id,distribution,policy,cache_size_mb,cache_size_label,ttl,n_requests,zipf_s,redis_hits,redis_misses
500,155,345,0.31,0.69,1553.307854116671,0.0005941390991210938,0.0013034343719482422,271,54.2,-0.01349,1,uniform,allkeys-lru,2,2MB,15,500,2.0,155,345
500,153,347,0.306,0.694,1500.2954588053162,0.0005888938903808594,0.0013835430145263672,281,56.2,-0.013574000000000001,2,uniform,allkeys-lru,2,2MB,60,500,2.0,308,692
500,149,351,0.298,0.702,1722.1107260753174,0.0005431175231933594,0.0011599063873291016,279,55.800000000000004,-0.013742,3,uniform,allkeys-lru,2,2MB,300,500,2.0,457,1043
500,260,240,0.52,0.48,1771.1564805102453,0.0005033016204833984,0.0012552738189697266,0,0.0,-0.00908,4,uniform,allkeys-lru,10,10MB,15,500,2.0,717,1283
500,278,222,0.556,0.444,1864.2875684055941,0.00042748451232910156,0.0011746883392333984,0,0.0,-0.008324000000000002,5,uniform,allkeys-lru,10,10MB,60,500,2.0,995,1505
500,269,231,0.538,0.462,1808.1421715791344,0.0004565715789794922,0.0011742115020751953,0,0.0,-0.008702,6,uniform,allkeys-lru,10,10MB,300,500,2.0,1264,1736
500,277,223,0.554,0.446,2122.690084405482,0.0004029273986816406,0.0010962486267089844,0,0.0,-0.008366,7,uniform,allkeys-lru,50,50MB,15,500,2.0,1541,1959
500,269,231,0.538,0.462,1929.8601435925373,0.0004456043243408203,0.001155853271484375,0,0.0,-0.008702,8,uniform,allkeys-lru,50,50MB,60,500,2.0,1810,2190
500,267,233,0.534,0.466,2019.554651620775,0.0004303455352783203,0.0011081695556640625,0,0.0,-0.008786,9,uniform,allkeys-lru,50,50MB,300,500,2.0,2077,2423
500,279,221,0.558,0.442,2223.6557771627913,0.00037097930908203125,0.0010917186737060547,0,0.0,-0.008282,10,uniform,allkeys-lru,200,200MB,15,500,2.0,2356,2644
500,272,228,0.544,0.456,1915.9176827207166,0.0004436969757080078,0.0011532306671142578,0,0.0,-0.008576,11,uniform,allkeys-lru,200,200MB,60,500,2.0,2628,2872
500,275,225,0.55,0.45,2249.0964585464835,0.0003733634948730469,0.0010478496551513672,0,0.0,-0.00845,12,uniform,allkeys-lru,200,200MB,300,500,2.0,2903,3097
500,276,224,0.552,0.448,1880.2197644561118,0.0004413127899169922,0.0011935234069824219,0,0.0,-0.008408,13,uniform,allkeys-lru,500,500MB,15,500,2.0,3179,3321
500,272,228,0.544,0.456,1859.9423876488202,0.00046253204345703125,0.0011532306671142578,0,0.0,-0.008576,14,uniform,allkeys-lru,500,500MB,60,500,2.0,3451,3549
500,280,220,0.56,0.44,1764.0440364996905,0.0005023479461669922,0.0012052059173583984,0,0.0,-0.00824,15,uniform,allkeys-lru,500,500MB,300,500,2.0,3731,3769
500,185,315,0.37,0.63,1859.5317369888764,0.0005168914794921875,0.0011322498321533203,242,48.4,-0.012230000000000001,16,uniform,allkeys-lfu,2,2MB,15,500,2.0,3916,4084
500,146,354,0.292,0.708,1681.3250157738064,0.0005471706390380859,0.0011730194091796875,287,57.4,-0.013868,17,uniform,allkeys-lfu,2,2MB,60,500,2.0,4062,4438
500,169,331,0.338,0.662,1761.5916847475025,0.0005440711975097656,0.0012271404266357422,274,54.800000000000004,-0.012902,18,uniform,allkeys-lfu,2,2MB,300,500,2.0,4231,4769
